codigo;articulo;unidades;venta
240;"ZACAPA 23";44;568
1202;"Laurent-Perrier Rose - Brut";3;567
1507;"tinto vera vides";45;560.3
935;"Jean Marie Bouzereau Cote d'or";8;560
1182;"Tarlant Zero - Brut Nature";6;560
1350;"Jean Monnier, Meursault La Barre 2020 - Chardonnay (A.O.C. Meursault)";3;560
1395;"Gerard Bertrand Clos Du Temple 2021 - Garnacha, Cinsault, Syrah (A.O.C. Languedoc)";2;560
869;"2022 Clau de Nell Anne Claude Leflavie";5;550
1313;"Domaine Clément Lavallée Chablis 2023 - Chardonnay (A.O.C. Chablis)";7;550
1347;"Jean Monnier, Meursault 1er Cru Genevrieres 2020 - Chardonnay (A.O.C. Meursault)";2;550
1304;"Domaine Jean Collet & Fils Grand Cru Valmur 2022 - Chardonnay (A.O.C. Chablis)";3;540
1345;"Philippe Pacalet, Meursault 2022 - Chardonnay (A.O.C. Meursault)";2;540
1440;"Fleurot-Larose Santenay Clos du Passetemps 2021 - Chardonnay (A.O.C. Beaune)";3;540
1445;"Domaine Méo-Camuzet Chambolle-Musigny 1er Cru Les Feusselottes 2014 - Pinot Noir";2;540
455;"CORONA";92;531
1414;"Dominio del Águila Picaro del Águila 2022 - Tempranillo (D.O. Ribera del Duero)";4;520
1468;"Nicole Lamarche Nuits-Saint-Georges 1er Cru 2021 - Pinot Noir (A.O.C. Nuits-Saint-Georges)";2;520
1285;"Tamerán Marmajuelo 2023 - Marmajuelo (D.O. Islas Canarias)";7;515
1148;"Jean Marc Pillot, Chassagne Montrachet 1er Cru Les Vergers";2;510
1303;"Domaine Leflaive Bourgogne Blanc 2023 - Chardonnay (A.O.C. Bourgogne)";3;510
1311;"Roaul Gautherin & Fils Grand Cru Vaudésirs 2022 - Chardonnay (A.O.C. Chablis)";3;510
1315;"Morey-Coffinet, Chassagne-Montrachet 1er Cru En Caillerets 2022 - Chardonnay";2;510
1429;"R. López de Heredia Viña Tondonia Reserva 2013 - Tempranillo (D.O.Ca. Rioja)";7;510
1430;"Rioja Alta S.A Viña Arana 2017 - Tempranillo (D.O.Ca. Rioja)";7;510
829;"2022 La Yegua  Sangarida";8;500.5
1219;"'Paul Déthune Cuvée à l''Ancienne Grand Cru 2014 - Brut'";3;500
1456;"Domaine Méo-Camuzet Vosne-Romanée 2016 - Pinot Noir (A.O.C. Vosne-Romanée)";2;500
134;"VIRGIN MARY";44;496.8
489;"ALIOLI";344;491.7
223;"HENDRICKS";39;491
1199;"Rive Gauche, Gamet - Brut";5;481
695;"OSSIAN MG";3;480
1082;"SANGRIA BLANCO";8;480
1212;"Alexandre Chartogne-Taillet Hors-Série - Extra Brut";4;480
234;"GREY GOOSE";28;470
1655;"GALLO 1,8 KG";2;468
164;"ESPRESSO MACHIATTO";152;465.5
218;"SHANDY LIMON";104;464
135;"VIRGIN MOJITO";40;456
1769;"ROTJA 0,7 KG";5;455
527;"LIMONADA NIÑOS";58;451.2
1221;"Louis Roederer Cristal 2016 - Brut";1;450
1278;"Pittacum La Maragata 2019 - Godello (D.O. Bierzo)";3;450
1280;"Verónica Ortega Tormenta 2021 - Godello (D.O. Bierzo)";5;450
1286;"Ibizkus Totem 2023 - Xarelo (D.O. Ibiza)";7;450
1294;"Loimer Langenloiser Kamptal DAC 2024 - Grüner Veltliner (Austria)";6;450
1329;"'Domaine Roc de L''Abbaye Sancerre 2022 - Sauvignon Blanc (A.O.C. Sancerre)'";7;449
1720;"RODABALLO 0,8 KG";4;448
